time_s,time_us,time_steady,num_ch,svid_0,flags_0,quality_0,cno_0,svid_1,flags_1,quality_1,cno_1,svid_2,flags_2,quality_2,cno_2,svid_3,flags_3,quality_3,cno_3,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656909119,339000,2464156,16,32,16,5,33,22,4,4,29,19,12,4,24,24,12,4,24,211,11,0,2022-07-04T07:31:59,-246,-4.09435,-246817,-4.113616666666667,93.18731356808775,100210.55067506751
1656909120,407000,2465224,16,32,13,4,31,19,13,4,28,22,4,4,27,24,13,4,23,241,11,0,2022-07-04T07:32:00,-245,-4.07655,-245749,-4.095816666666667,95.24655858408109,100186.03762376237
1656909121,375000,2466193,16,32,13,4,31,19,13,4,28,22,4,4,27,24,13,4,24,13,11,0,2022-07-04T07:32:01,-244,-4.060416666666667,-244780,-4.079666666666666,96.40160026704484,100172.28811641067
1656909122,394000,2467211,16,32,13,4,31,22,4,4,28,19,13,4,27,11,4,4,25,42,11,0,2022-07-04T07:32:02,-243,-4.043433333333334,-243762,-4.0627,96.31079353298611,100173.36906666667
1656909123,412000,2468229,16,32,13,4,32,22,4,4,30,19,13,4,28,11,4,4,27,71,11,0,2022-07-04T07:32:03,-242,-4.026466666666667,-242744,-4.045733333333334,96.10677872097371,100175.79768041238
1656909124,368000,2469185,16,12,13,4,31,32,13,4,31,19,13,4,28,11,4,4,26,95,11,0,2022-07-04T07:32:04,-241,-4.010533333333333,-241788,-4.0298,96.624236742,100169.63788659793
1656909125,386000,2470203,16,12,13,5,31,32,13,4,30,22,4,4,29,11,4,4,26,124,11,0,2022-07-04T07:32:05,-240,-3.9935666666666667,-240770,-4.012833333333334,96.9801191363065,100165.40149165071
1656909126,404000,2471222,16,2,4,4,28,3,4,4,30,12,13,5,27,19,13,4,27,153,11,0,2022-07-04T07:32:06,-239,-3.9766,-239751,-3.99585,97.09300857452298,100164.05768596132
1656909127,373000,2472191,16,2,4,4,29,12,13,4,29,32,13,4,27,11,4,4,27,181,11,0,2022-07-04T07:32:07,-238,-3.9604500000000002,-238782,-3.9797000000000002,97.20805721463238,100162.68813799621
1656909128,392000,2473209,16,2,4,4,30,3,4,4,33,12,13,4,30,11,4,4,27,210,11,0,2022-07-04T07:32:08,-237,-3.9434666666666667,-237764,-3.9627333333333334,97.32941942124826,100161.24343100189
1656909129,410000,2474228,16,22,4,4,31,3,4,4,33,32,13,4,27,11,4,4,27,239,11,0,2022-07-04T07:32:09,-236,-3.9265,-236745,-3.94575,96.37240696670155,100172.63565536206
1656909130,379000,2475196,16,12,13,4,30,3,4,4,29,22,4,4,26,11,4,4,27,11,11,0,2022-07-04T07:32:10,-235,-3.91035,-235777,-3.9296166666666665,96.03401144011976,100176.66388634281
1656909134,352000,2479169,15,2,4,4,28,12,13,4,27,24,13,4,23,19,13,4,21,125,11,0,2022-07-04T07:32:14,-231,-3.844133333333333,-231804,-3.8634,96.70010526360817,100168.73479274256
1656909135,372000,2480189,15,2,4,4,32,3,4,4,32,12,13,4,29,24,13,4,22,154,11,0,2022-07-04T07:32:15,-230,-3.8271333333333333,-230784,-3.8464,96.73926590912129,100168.26863488872
1656909136,393000,2481210,15,12,13,4,29,3,4,4,28,11,4,4,22,20,4,4,21,183,11,0,2022-07-04T07:32:16,-229,-3.8101166666666666,-229763,-3.8293833333333334,96.69973089328805,100168.73924914676
1656909137,362000,2482179,15,12,13,4,29,3,4,4,32,11,4,4,24,20,4,4,23,211,11,0,2022-07-04T07:32:17,-228,-3.793966666666667,-228794,-3.8132333333333337,96.56081785911586,100170.39283276451
1656909138,382000,2483199,15,12,13,4,29,3,4,4,28,11,4,4,24,20,4,4,24,240,11,0,2022-07-04T07:32:18,-227,-3.7769666666666666,-227774,-3.7962333333333333,96.21222857666015,100174.5424
1656909139,350000,2484168,15,12,13,4,31,3,4,4,32,20,4,4,30,19,13,4,20,12,11,0,2022-07-04T07:32:19,-226,-3.7608333333333333,-226805,-3.7800833333333332,96.00577545166016,100177.0
1656909140,319000,2485136,15,12,12,4,34,3,4,4,31,20,4,4,30,19,12,4,22,40,11,0,2022-07-04T07:32:20,-225,-3.7446833333333336,-225837,-3.76395,96.36854539738893,100172.68161434977
1656909141,337000,2486154,15,12,12,5,32,3,4,4,30,20,4,4,29,22,4,3,23,69,11,0,2022-07-04T07:32:21,-224,-3.727716666666667,-224819,-3.746983333333333,97.32726763194735,100161.26905829596
1656909142,354000,2487172,15,2,4,4,29,12,12,4,28,20,4,4,22,24,12,3,22,98,11,0,2022-07-04T07:32:22,-223,-3.7107666666666663,-223801,-3.7300166666666663,97.34910849091018,100161.0090807592
1656909143,322000,2488139,15,12,12,4,29,3,4,4,27,11,4,4,26,20,4,4,22,126,11,0,2022-07-04T07:32:23,-222,-3.6946333333333334,-222834,-3.7139,97.25831961594508,100162.08983997023
1656909144,340000,2489157,15,12,12,4,29,3,4,4,27,11,4,4,25,20,4,4,21,155,11,0,2022-07-04T07:32:24,-221,-3.6776666666666666,-221816,-3.6969333333333334,97.10280628779648,100163.94106728538
1656909149,330000,2494147,15,12,12,4,30,3,4,4,31,31,4,4,26,24,12,4,22,42,11,0,2022-07-04T07:32:29,-216,-3.5944999999999996,-216826,-3.6137666666666663,97.1778409211532,100163.04782608696
1656909150,348000,2495165,15,2,4,4,29,3,4,4,31,12,12,4,29,31,4,4,26,71,11,0,2022-07-04T07:32:30,-215,-3.5775333333333332,-215808,-3.5968,97.13555366920595,100163.5512248629
1656909151,367000,2496184,15,12,12,4,29,3,4,4,27,31,4,4,25,24,12,4,21,100,11,0,2022-07-04T07:32:31,-214,-3.56055,-214789,-3.5798166666666664,96.65264507681701,100169.29973816717
1656909152,335000,2497152,15,12,12,4,29,3,4,4,28,31,4,4,25,25,4,4,21,128,11,0,2022-07-04T07:32:32,-213,-3.5444166666666663,-213821,-3.563683333333333,96.91469738732653,100166.18030211481
1656909153,353000,2498171,15,12,12,4,30,3,4,4,29,31,4,4,26,24,12,4,21,157,11,0,2022-07-04T07:32:33,-212,-3.52745,-212802,-3.5467,97.1902854576764,100162.89973816717
1656909154,322000,2499139,15,2,4,4,28,3,4,4,29,31,4,4,25,20,4,4,23,184,11,0,2022-07-04T07:32:34,-211,-3.5113,-211834,-3.5305666666666666,96.71151178808996,100168.59901390832
1656909155,340000,2500157,14,12,12,4,30,3,4,4,28,31,4,4,24,11,4,4,20,212,11,0,2022-07-04T07:32:35,-210,-3.494333333333333,-210816,-3.5136,96.14692459386167,100175.31979835013
1656909156,309000,2501126,14,12,12,4,34,3,4,4,27,20,4,4,23,11,4,4,22,239,11,0,2022-07-04T07:32:36,-209,-3.4781833333333334,-209847,-3.49745,96.10725406957918,100175.79202566453
1656909157,327000,2502144,15,12,12,4,32,3,4,4,29,20,4,4,26,11,4,4,27,11,11,0,2022-07-04T07:32:37,-208,-3.4612166666666666,-208829,-3.4804833333333334,96.2363976437474,100174.25472154963
1656909158,346000,2503164,15,12,12,4,33,3,4,4,29,20,4,4,27,11,4,4,28,39,11,0,2022-07-04T07:32:38,-207,-3.4442333333333335,-207809,-3.4634833333333335,96.65093442976908,100169.3200968523
1656909159,366000,2504183,16,12,12,4,29,3,4,4,28,20,4,4,25,11,4,4,28,67,11,0,2022-07-04T07:32:39,-206,-3.427233333333333,-206790,-3.4465,97.00807382664586,100165.06872649114
1656909160,335000,2505152,16,12,12,4,29,3,4,4,28,20,4,4,25,11,4,4,27,94,11,0,2022-07-04T07:32:40,-205,-3.411083333333333,-205821,-3.43035,96.96433226940518,100165.5894142934
1656909161,353000,2506170,16,12,12,4,30,3,4,4,28,20,4,4,23,11,4,4,27,122,11,0,2022-07-04T07:32:41,-204,-3.3941166666666667,-204803,-3.4133833333333334,96.87065846552197,100166.70449500554
1656909162,321000,2507138,15,12,12,4,30,3,4,4,26,20,4,4,22,11,4,4,27,149,11,0,2022-07-04T07:32:42,-203,-3.3779833333333333,-203835,-3.39725,96.64502707342726,100169.39039955605
1656909163,340000,2508157,15,2,4,4,26,3,4,4,25,12,12,4,25,11,4,4,27,177,11,0,2022-07-04T07:32:43,-202,-3.3609999999999998,-202816,-3.3802666666666665,96.39350240869852,100172.38454258675
1656909164,510000,2509327,15,12,13,4,32,3,4,4,26,20,4,4,21,11,4,4,28,208,11,0,2022-07-04T07:32:44,-201,-3.3415000000000004,-201646,-3.3607666666666662,96.20003936026318,100174.68753437213
1656909165,379000,2510196,15,12,12,4,32,3,4,4,27,20,4,4,21,11,4,4,28,234,11,0,2022-07-04T07:32:45,-200,-3.3270166666666667,-200777,-3.346283333333333,96.28816254688846,100173.63852857721
1656909166,348000,2511165,15,12,12,4,32,3,4,4,28,29,4,3,26,11,4,4,28,6,11,0,2022-07-04T07:32:46,-199,-3.3108666666666666,-199808,-3.3301333333333334,96.55304274552401,100170.48537714021
1656909167,369000,2512186,15,12,12,5,32,3,4,4,28,20,4,4,22,11,4,4,28,35,11,0,2022-07-04T07:32:47,-198,-3.29385,-198787,-3.3131166666666667,96.98963228443715,100165.28824618232
1656909168,338000,2513155,15,12,12,4,29,3,4,4,28,20,4,4,23,11,4,4,28,63,11,0,2022-07-04T07:32:48,-197,-3.2777000000000003,-197818,-3.296966666666667,97.40398611715688,100160.35580749653
1656909169,357000,2514174,15,12,12,4,29,3,4,4,27,20,4,4,23,11,4,4,27,92,11,0,2022-07-04T07:32:49,-196,-3.2607166666666667,-196799,-3.2799833333333335,97.2544061822843,100162.13640967924
1656909170,327000,2515144,15,12,12,4,29,3,4,4,27,20,4,4,22,11,4,4,27,120,11,0,2022-07-04T07:32:50,-195,-3.24455,-195829,-3.2638166666666666,97.01576560149941,100164.97718179545
1656909171,345000,2516162,15,12,12,4,33,3,4,4,28,24,12,4,22,11,4,4,32,149,11,0,2022-07-04T07:32:51,-194,-3.2275833333333335,-194811,-3.2468500000000002,96.42768245591138,100171.97768192049
1656909172,364000,2517181,15,12,12,4,29,3,4,4,27,24,12,4,20,11,4,4,27,178,11,0,2022-07-04T07:32:52,-193,-3.2106,-193792,-3.2298666666666667,96.17378997802734,100175.0
1656909173,333000,2518150,14,12,12,4,32,3,4,4,28,20,4,4,22,11,4,4,31,206,11,0,2022-07-04T07:32:53,-192,-3.1944500000000002,-192823,-3.213716666666667,96.26473767494177,100173.91735015773
1656909174,351000,2519168,14,12,12,4,31,3,4,4,27,20,4,4,21,11,4,4,30,235,11,0,2022-07-04T07:32:54,-191,-3.1774833333333334,-191805,-3.19675,96.53942827351129,100170.64743112435
1656909175,307000,2520124,14,12,12,4,31,3,4,4,27,20,4,4,22,11,4,4,30,3,11,0,2022-07-04T07:32:55,-190,-3.16155,-190849,-3.1808166666666664,97.06266851134026,100164.41883842145
1656909176,324000,2521141,15,12,12,4,27,3,4,4,27,20,4,4,23,11,4,4,29,32,11,0,2022-07-04T07:32:56,-189,-3.1445999999999996,-189832,-3.1638666666666664,97.59622247502881,100158.06747294716
1656909177,342000,2522159,15,2,4,4,30,12,12,4,28,20,4,4,24,11,4,4,29,61,11,0,2022-07-04T07:32:57,-188,-3.1276333333333333,-188814,-3.1469,97.41477233235962,100160.22745597284
1656909178,361000,2523178,16,2,4,4,29,12,12,4,28,20,4,4,23,11,4,4,28,90,11,0,2022-07-04T07:32:58,-187,-3.11065,-187795,-3.1299166666666665,97.16428869039824,100163.20919650342
1656909179,331000,2524148,16,2,4,4,28,12,12,4,28,20,4,4,22,11,4,4,28,118,11,0,2022-07-04T07:32:59,-186,-3.0944833333333337,-186825,-3.11375,96.62761637710867,100169.59765297569
1656909180,353000,2525170,16,12,12,4,29,3,4,4,27,24,12,4,22,11,4,4,29,147,11,0,2022-07-04T07:33:00,-185,-3.07745,-185803,-3.0967166666666666,96.3028844873584,100173.4632447296
1656909181,376000,2526193,16,12,12,4,33,3,4,4,27,24,12,4,23,11,4,4,33,176,11,0,2022-07-04T07:33:01,-184,-3.0604,-184780,-3.0796666666666668,96.15458157571514,100175.2286516854
1656909182,348000,2527164,16,12,12,4,32,3,4,4,27,24,12,4,24,11,4,4,31,204,11,0,2022-07-04T07:33:02,-183,-3.0441999999999996,-183809,-3.063483333333333,96.19353161576143,100174.76497545009
1656909183,368000,2528185,16,12,12,5,32,3,4,4,28,24,12,4,25,11,4,4,29,233,11,0,2022-07-04T07:33:03,-182,-3.0272,-182788,-3.046466666666667,96.70315928977524,100168.69843158463
1656909184,336000,2529153,16,12,12,4,27,3,4,4,27,24,12,4,24,11,4,4,27,5,11,0,2022-07-04T07:33:04,-181,-3.0110666666666663,-181820,-3.030333333333333,96.87907531886826,100166.60432666306
1656909185,354000,2530171,16,12,12,4,26,3,4,4,27,24,12,4,24,11,4,4,25,34,11,0,2022-07-04T07:33:05,-180,-2.9941,-180802,-3.0133666666666667,97.0244985471953,100164.87321100918
1656909186,372000,2531189,16,12,12,4,25,3,4,4,26,24,12,4,23,25,4,4,20,63,11,0,2022-07-04T07:33:06,-179,-2.977133333333333,-179784,-2.9964,97.06372762697552,100164.40623853212
1656909187,490000,2532307,16,12,13,4,24,3,4,4,26,24,13,4,24,25,4,4,19,94,11,0,2022-07-04T07:33:07,-178,-2.9585,-178666,-2.9777666666666667,96.93937729047362,100165.88650284112
1656909188,358000,2533175,16,12,13,4,23,3,4,4,26,24,13,4,23,25,4,4,18,120,11,0,2022-07-04T07:33:08,-177,-2.944033333333333,-177798,-2.9633,96.34747403296637,100172.93247730794
1656909189,377000,2534194,16,19,13,4,31,3,4,4,27,24,13,4,25,25,4,4,20,149,11,0,2022-07-04T07:33:09,-176,-2.92705,-176779,-2.9463166666666667,96.2326412624006,100174.29945004583
1656909190,395000,2535212,16,19,13,4,29,3,4,4,27,24,13,4,24,25,4,4,20,178,11,0,2022-07-04T07:33:10,-175,-2.910083333333333,-175761,-2.92935,96.84119511143349,100167.05525258323
1656909191,363000,2536180,16,19,13,4,30,3,4,4,28,24,13,4,26,20,4,3,21,206,11,0,2022-07-04T07:33:11,-174,-2.89395,-174793,-2.9132166666666666,97.32121057815252,100161.3411665732
1656909192,382000,2537198,16,19,13,4,29,3,4,4,27,24,13,4,24,25,4,4,21,235,11,0,2022-07-04T07:33:12,-173,-2.8769666666666667,-173775,-2.89625,96.8891213678605,100166.48474481211
1656909198,338000,2543155,16,19,12,4,29,3,4,4,27,24,12,3,25,25,4,4,20,150,11,0,2022-07-04T07:33:18,-167,-2.7777000000000003,-167818,-2.796966666666667,96.60804778982245,100169.83061722058
1656909199,356000,2544172,16,19,12,4,29,3,4,4,27,24,12,3,25,32,12,4,21,179,11,0,2022-07-04T07:33:19,-166,-2.7607333333333335,-166801,-2.7800166666666666,97.15673148401065,100163.29911459002
1656909200,373000,2545190,16,19,12,4,30,3,4,4,28,24,12,3,26,25,4,4,22,208,11,0,2022-07-04T07:33:20,-165,-2.7437833333333335,-165783,-2.76305,97.28012246118507,100161.8302652106
1656909201,341000,2546158,16,24,12,3,25,3,4,4,26,6,4,4,23,25,4,4,22,236,11,0,2022-07-04T07:33:21,-164,-2.7276499999999997,-164815,-2.7469166666666665,96.98411318917357,100165.35392615704
1656909202,359000,2547176,16,19,13,4,27,3,4,4,27,24,13,4,25,25,4,4,22,9,11,0,2022-07-04T07:33:22,-163,-2.7106833333333333,-163797,-2.72995,95.78724443193533,100179.60133630289
1656909203,377000,2548194,16,19,13,4,27,3,4,4,27,24,13,4,24,25,4,4,21,38,11,0,2022-07-04T07:33:23,-162,-2.6937166666666665,-162779,-2.7129833333333333,93.88260854674338,100202.27394209354
1656909208,365000,2553182,16,19,13,4,30,3,4,4,29,6,4,4,25,24,13,4,21,181,11,0,2022-07-04T07:33:28,-157,-2.610583333333333,-157791,-2.62985,96.26561904280152,100173.90684931507
1656909209,384000,2554200,16,19,13,4,25,3,4,4,28,6,4,4,23,25,4,4,21,209,11,0,2022-07-04T07:33:29,-156,-2.5936000000000003,-156773,-2.6128833333333334,96.06350675884046,100176.31278195488
1656909210,402000,2555219,16,19,13,4,26,3,4,4,27,6,4,4,23,25,4,4,20,237,11,0,2022-07-04T07:33:30,-155,-2.5766333333333336,-155754,-2.5959,96.38500440325055,100172.4857142857
1656909211,370000,2556187,16,19,13,4,27,3,4,4,27,6,4,4,22,25,4,4,19,8,11,0,2022-07-04T07:33:31,-154,-2.5604999999999998,-154786,-2.5797666666666665,96.59381866455078,100170.0
1656909212,389000,2557205,16,19,13,4,27,3,4,4,27,6,4,4,21,32,13,4,20,36,11,0,2022-07-04T07:33:32,-153,-2.5435166666666666,-153768,-2.5628,96.59381866455078,100170.0
1656909213,407000,2558223,16,19,13,4,28,3,4,4,28,32,13,4,23,24,13,4,20,64,11,0,2022-07-04T07:33:33,-152,-2.52655,-152750,-2.5458333333333334,96.72191987667443,100168.47509433962
1656909214,375000,2559192,16,19,13,4,28,3,4,4,28,32,13,4,24,24,13,4,20,91,11,0,2022-07-04T07:33:34,-151,-2.5104166666666665,-151781,-2.5296833333333333,96.95206459333312,100165.7354716981
1656909215,393000,2560210,16,19,13,4,28,3,4,4,28,32,13,4,22,24,13,4,20,119,11,0,2022-07-04T07:33:35,-150,-2.49345,-150763,-2.512716666666667,97.04180369535574,100164.6672252517
1656909216,361000,2561178,16,19,13,4,29,3,4,4,29,6,4,4,23,32,13,4,22,146,11,0,2022-07-04T07:33:36,-149,-2.477316666666667,-149795,-2.496583333333333,96.90776888928555,100166.26276389709
1656909217,380000,2562196,16,19,13,4,28,3,4,4,29,6,4,4,22,25,4,4,21,174,11,0,2022-07-04T07:33:37,-148,-2.4603333333333333,-148777,-2.4796166666666664,96.76667233206909,100167.94236501244
1656909218,398000,2563215,16,19,13,4,28,3,4,4,28,6,4,4,22,25,4,4,21,202,11,0,2022-07-04T07:33:38,-147,-2.443366666666667,-147758,-2.4626333333333337,96.6257142405614,100169.62031784405
1656909219,366000,2564183,16,19,13,4,28,3,4,4,28,6,4,4,22,32,13,4,21,229,11,0,2022-07-04T07:33:39,-146,-2.427233333333333,-146790,-2.4465,96.49167943449119,100171.21585648943
1656909220,385000,2565201,16,19,13,4,27,3,4,4,27,6,4,4,22,25,4,4,20,2,11,0,2022-07-04T07:33:40,-145,-2.41025,-145772,-2.429533333333333,96.35058287727475,100172.89545760477
1656909221,403000,2566219,16,19,13,4,26,3,4,4,27,6,4,4,22,25,4,4,20,31,11,0,2022-07-04T07:33:41,-144,-2.3932833333333337,-144754,-2.4125666666666663,96.20962478576705,100174.57341043638
1656909222,371000,2567188,16,19,13,4,27,3,4,4,27,6,4,4,22,24,13,4,21,59,11,0,2022-07-04T07:33:42,-143,-2.37715,-143785,-2.3964166666666666,96.08978271484375,100176.0
1656909223,389000,2568206,16,19,13,4,26,3,4,4,26,20,4,3,22,24,13,4,22,88,11,0,2022-07-04T07:33:43,-142,-2.360183333333333,-142767,-2.37945,96.07639997883847,100176.15930451128
1656909224,357000,2569174,16,19,12,4,27,3,4,4,27,6,4,4,19,24,12,4,19,116,11,0,2022-07-04T07:33:44,-141,-2.34405,-141799,-2.363316666666667,95.84711699736746,100178.88862781954
1656909225,325000,2570141,16,19,12,4,27,3,4,4,26,6,4,4,19,24,12,4,16,144,11,0,2022-07-04T07:33:45,-140,-2.327916666666667,-140832,-2.3472,96.62490228724913,100169.62994876572
1656909226,343000,2571160,16,12,12,4,26,3,4,4,25,19,12,4,25,29,4,4,15,173,11,0,2022-07-04T07:33:46,-139,-2.31095,-139813,-2.3302166666666664,96.96085634215521,100165.63079080202
1656909227,361000,2572178,16,12,12,4,26,3,4,4,23,19,12,4,23,25,4,4,15,202,11,0,2022-07-04T07:33:47,-138,-2.2939833333333337,-138795,-2.3132499999999996,97.00882010767451,100165.0598429613
1656909228,329000,2573146,16,12,12,4,26,19,12,4,20,6,4,3,16,25,4,4,14,230,11,0,2022-07-04T07:33:48,-137,-2.27785,-137827,-2.2971166666666667,97.05791279308399,100164.47545676005
1656909229,348000,2574164,16,12,12,4,27,19,12,4,21,6,4,4,17,11,4,2,22,3,11,0,2022-07-04T07:33:49,-136,-2.2608666666666664,-136809,-2.28015,97.00794655726317,100165.07025535738
1656909230,368000,2575184,16,12,12,4,27,19,12,4,22,32,12,3,19,11,4,3,23,32,11,0,2022-07-04T07:33:50,-135,-2.243866666666667,-135789,-2.26315,96.623111399334,100169.6512896189
1656909231,323000,2576140,16,12,12,4,28,25,4,4,27,32,12,3,21,11,4,4,28,56,11,0,2022-07-04T07:33:51,-134,-2.22795,-134833,-2.2472166666666666,96.66488533521954,100169.15404135338
1656909232,341000,2577157,16,12,12,4,31,25,4,4,27,29,4,4,27,11,4,4,28,85,11,0,2022-07-04T07:33:52,-133,-2.210983333333333,-133816,-2.2302666666666666,96.66571435426411,100169.14417293233
1656909233,359000,2578175,16,12,12,4,31,29,4,4,27,20,4,3,21,11,4,4,28,114,11,0,2022-07-04T07:33:53,-132,-2.1940166666666667,-132798,-2.2133,97.07518351568469,100164.26985743381
1656909234,326000,2579143,16,12,12,4,27,29,4,4,27,20,4,3,19,11,4,4,28,142,11,0,2022-07-04T07:33:54,-131,-2.1779,-131830,-2.197166666666667,97.84559704802757,100155.09889534884
1656909235,457000,2580274,16,12,13,4,27,29,4,4,26,6,4,4,18,11,4,4,27,177,11,0,2022-07-04T07:33:55,-130,-2.15905,-130699,-2.178316666666667,97.67988308573878,100157.07156976745
1656909236,364000,2581180,16,12,13,4,27,32,13,4,27,25,4,4,20,11,4,4,25,200,11,0,2022-07-04T07:33:56,-129,-2.1439333333333335,-129793,-2.1632166666666666,97.61599213260335,100157.83213869725
1656909237,383000,2582199,16,32,13,4,33,29,4,4,24,25,4,4,22,11,4,4,24,229,11,0,2022-07-04T07:33:57,-128,-2.12695,-128774,-2.1462333333333334,97.65434147459067,100157.37563838366
1656909238,350000,2583167,16,32,12,4,27,19,12,4,22,25,4,3,22,11,4,4,24,1,11,0,2022-07-04T07:33:58,-127,-2.1108333333333333,-127806,-2.1301,97.57245225528604,100158.35044462408
1656909239,370000,2584187,16,12,12,4,31,25,4,3,30,32,12,4,28,11,4,4,25,30,11,0,2022-07-04T07:33:59,-126,-2.0938333333333334,-126786,-2.1131,96.6719504397245,100169.06992724333
1656909240,339000,2585155,16,12,12,4,31,25,4,4,29,32,12,4,26,11,4,4,26,58,11,0,2022-07-04T07:34:00,-125,-2.0776833333333333,-125818,-2.0969666666666664,96.59381866455078,100170.0
1656909241,357000,2586173,16,12,12,4,30,24,12,4,28,25,4,4,27,11,4,4,26,87,11,0,2022-07-04T07:34:01,-124,-2.0607166666666665,-124800,-2.08,97.49451080113876,100159.27826251897
1656909242,374000,2587191,16,2,4,4,26,25,4,4,26,31,4,3,26,11,4,4,25,116,11,0,2022-07-04T07:34:02,-123,-2.043766666666667,-123782,-2.0630333333333333,97.99630555171106,100153.30491950805
1656909243,342000,2588159,15,12,12,4,27,25,4,4,26,31,4,4,26,11,4,4,26,144,11,0,2022-07-04T07:34:03,-122,-2.027633333333333,-122814,-2.0469,98.28088631604673,100149.91725827417
1656909244,360000,2589176,15,12,12,4,27,25,4,4,26,31,4,4,25,11,4,4,25,173,11,0,2022-07-04T07:34:04,-121,-2.010666666666667,-121797,-2.02995,98.06071876929013,100152.53812148949
1656909249,346000,2594162,15,12,12,4,32,25,4,4,31,31,4,4,26,11,4,4,22,60,11,0,2022-07-04T07:34:09,-116,-1.9275666666666667,-116811,-1.9468500000000002,96.84583282470703,100167.0
1656909250,313000,2595130,15,25,4,4,30,31,4,4,25,6,4,3,20,11,4,4,25,88,11,0,2022-07-04T07:34:10,-115,-1.9114499999999999,-115843,-1.9307166666666666,97.07909359961256,100164.22329007708
1656909251,331000,2596147,15,12,12,4,26,25,4,4,26,31,4,4,23,11,4,4,25,117,11,0,2022-07-04T07:34:11,-114,-1.8944833333333333,-114826,-1.9137666666666666,97.3711357455403,100160.74685335155
1656909252,349000,2597165,15,12,12,4,27,25,4,4,26,31,4,4,21,11,4,4,24,146,11,0,2022-07-04T07:34:12,-113,-1.8775166666666665,-113808,-1.8968,97.74062064995555,100156.34856098675
1656909253,366000,2598183,15,12,12,4,28,25,4,4,26,24,12,3,22,11,4,4,22,175,11,0,2022-07-04T07:34:13,-112,-1.8605666666666667,-112790,-1.8798333333333335,98.13091124268415,100151.70260392873
1656909254,334000,2599151,15,12,13,4,27,25,4,4,27,22,4,3,23,11,4,4,22,203,11,0,2022-07-04T07:34:14,-111,-1.8444333333333334,-111822,-1.8637000000000001,97.87636906430505,100154.73265190233
1656909255,353000,2600169,16,12,13,4,27,25,4,4,27,24,13,4,23,32,13,4,23,232,11,0,2022-07-04T07:34:15,-110,-1.82745,-110804,-1.8467333333333333,97.19582842383312,100162.83373083475
1656909256,371000,2601187,15,12,13,4,29,25,4,4,29,32,13,4,26,31,4,4,21,5,11,0,2022-07-04T07:34:16,-109,-1.8104833333333334,-109786,-1.8297666666666668,97.09785461425781,100164.0
1656909257,389000,2602206,15,25,4,4,33,32,13,4,33,22,4,4,31,24,13,4,24,34,11,0,2022-07-04T07:34:17,-108,-1.7935166666666666,-108767,-1.8127833333333332,97.15932390683294,100163.26828597617
1656909258,408000,2603224,16,32,13,4,32,25,4,4,30,31,4,4,29,24,13,4,23,63,11,0,2022-07-04T07:34:18,-107,-1.7765333333333333,-107749,-1.7958166666666666,97.5204835450974,100158.96907164481
